productId,Savings$,Sale_price$,Orig_price$,Item,description,productCategory,customerRating,numReviews,brand,initialQuantity,quantity,standardUpc,imageUrl
1V9Y8DB8U9AH,100.0,499.99,599.99,"TCL 50"" Class 5-Series 4K UHD Dolby Vision HDR QLED Roku Smart TV - 50S535",TCL50S5355-Series 4K OLED Dolby Vision HDR Smart Roku TVPower CordRemote ControlRemote Control BatteryLimited Warranty5-Series 4K OLED Dolby Vision HDR,Televisions,4.3,241.0,TCL,2730,2730,00846042016186,https://i5.walmartimages.com/asr/9c6fa4b8-e715-4688-92d9-a223510a05f1.fe20863340546bd55fd8330b2c8df05d.png?odnHeight=200&odnWidth=200&odnBg=ffffff
2RRKOAAOOFW4,30.0,169.0,199.0,Apple Watch Series 3 GPS - 38mm - Sport Band - Aluminum Case,Elevated in every way.Space Gray aluminum caseIon-X strengthened glassUp to 18 hours of battery lifeGPS/GNSS,Smart Watches,4.6,5079.0,Apple,15366,15366,00190198806116,https://i5.walmartimages.com/asr/83ed7cf5-45b5-4f5e-bbb1-a6dfda21ee30_1.018f1bdadbc903ed087e9a71436a38ac.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
3JMS5HDQJKWL,22.0,197.0,219.0,Apple AirPods Pro,"Active Noise Cancellation for immersive soundTransparency mode for hearing and connecting with the world around youThree sizes of soft, tapered silicone tips for a customizable",Headphones,4.6,6172.0,Apple,24765,24765,00190199246850,https://i5.walmartimages.com/asr/c67bebef-646f-4cbb-9f06-432b491540cd_1.a85f65354949e93ab03dcb078a7d6495.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
5PAS9XETY60X,50.0,169.0,219.0,"Lenovo 11.6"" Celeron 4GB/32GB Chromebook, 11.6"" HD Display, Intel Celeron N4020 Dual-Core Processor, 4GB Memory, 32GB eMMC Solid State Drive","Display: 11.6""Processor: Intel Celeron N4020 Dual-CoreRAM Memory: 4GBInternal Storage: 32GB eMMCBattery life: 10 hoursOnyx Black",Laptop Computers,4.3,624.0,Lenovo,6731,6731,00194632976403,https://i5.walmartimages.com/asr/2872cadf-7890-4560-859a-ec9afef479ea.7ef6846c343bee70d867efeb66c2efad.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
1LYPVR1FMX00,10.88,39.0,49.88,Beats Flex  All-Day Wireless Earphones  Beats Black,Stay connected to the world you love with all-day wireless Beats Flex earphones.,Headphones,4.1,277.0,Beats by Dr. Dre,13195,13195,00190199801561,https://i5.walmartimages.com/asr/eb2eac02-a223-4c6d-ab91-d8c104853e8a.160a20ad2af7cbb1281aba785eb08f52.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
74YB6YRZPTS6,80.0,159.0,239.0,"Lenovo 81JW0001US Chromebook S330, 14"" HD Display, Mediatek MT8173C CPU 4GB RAM, 32GB eMMC SSD, Chrome OS, Black",Chrome OSMediaTek MT8173c Quad-core processor4GB Memory32GB EMMc SSD StorageBlack,Laptop Computers,4.1,1041.0,Lenovo,30560,30560,00192940234864,https://i5.walmartimages.com/asr/8a54d8c4-fe2b-45e5-a82d-5e7795cc3bbc_1.b62390d770a96572adaa9584f64bdfe2.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
23LC6PQMT7UF,70.99,159.0,229.99,"Samsung CB4 11.6"" Celeron 4GB/32GB Chromebook, 11.6"" HD Display, Intel Celeron Processor N4000, 4GB RAM, 32GB eMMC, Intel UHD Graphics 600 - XE310XBA-K01US (Google Classroom Ready)","Compact, light design with 13.3"" displayMilitary-grade durabilityUltra-fast connectivity with Gigabit WiFiAdvanced security with multiple layers of built-in virus",Laptop Computers,4.2,624.0,SAMSUNG,14145,14145,00887276371399,https://i5.walmartimages.com/asr/b62d59a5-d7c6-4e36-ba8f-774f0cbc5466_9.79edcdbc05fdea8fc2e56824f61a17c8.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
6P3V9Y19567B,200.0,299.0,499.0,"Gateway 14.1"" FHD Ultra Slim Notebook, Intel Core i3-1005G1, 4GB RAM, 128GB SSD, Tuned by THX Audio, Fingerprint Scanner, Webcam, HDMI, Cortana, Windows 10 S","Windows 10 Home in S Mode10thGen Intel Core i3-1005G1 Processor (1.2GHz, Up to 3.4GHz, 4M Cache)14.1 LCD IPS Display, (1920 x 1080)",Laptop Computers,4.2,122.0,Gateway,4602,4602,00812550032888,https://i5.walmartimages.com/asr/1a404d25-1196-457f-b3eb-b473eaa710ea.c902149d988ab4ea3da7f7ae959e861d.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
76CLI4Q96DNO,80.11,69.88,149.99,Philips HTL1520B Soundbar Speaker with Wireless Subwoofer and HDMI ARC,Philips HTL1520B 2.1 channel soundbar speaker with wireless subwooferWireless subwoofer for an extra oomph and is easy to hide out of sightHDMI ARC input for controlling the,Sound Bars,3.5,20.0,Philips,788,788,00685417541881,https://i5.walmartimages.com/asr/3f206434-d9b2-441d-8d40-1b1592bd8a09.910e08cb30f873f7259aea36749b3cef.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
2E8Q3RMEYVTM,80.0,69.99,149.99,"Klipsch Pro Media 2.1 THX Computer Speakers Two-Way Satellites 3"" Midbass Drivers and 6.5"" Subwoofer","200 Watts of Dynamic PowerTHX CertifiedTwo-Way Satellites' 3"" Midbass Drivers6.5"" SubwooferSeparate Primary and Subwoofer Controls",Computer Speakers,4.5,167.0,Klipsch,857,857,00743878038453,https://i5.walmartimages.com/asr/ac0cde14-0cc3-4764-bb9c-1b353a183d11.134ca98b4a9ac60b2833d3cd1a78a362.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
